COMPUTATIONAL INTELLIGENCE PROJECT REPORT
=========================================
Student: s347245
Parameters: Alpha=1.00, Beta=2.00, Density=0.22, Cities=100
=========================================

PERFORMANCE COMPARISON
-------------------------
 - Baseline Cost:       5,334,401.9
 - Algorithm Cost:      4,020,354.9
 - Absolute Improvement: 1,314,047.0
 - % Improvement:       24.63%
 - Result:              IMPROVEMENT

CITY COVERAGE DETAIL:
City ID    | Available    | Visits  
Trip #29  | Load: 433.8  | Path: 0 -> 52 -> 0
Trip #30  | Load: 374.8  | Path: 0 -> 49 -> 0
Trip #31  | Load: 200.6  | Path: 0 -> 13 -> 0
Trip #32  | Load: 531.2  | Path: 0 -> 44 -> 0
Trip #33  | Load: 485.9  | Path: 0 -> 2 -> 0
Trip #34  | Load: 462.5  | Path: 0 -> 93 -> 0
Trip #35  | Load: 398.5  | Path: 0 -> 42 -> 0
Trip #36  | Load: 402.2  | Path: 0 -> 14 -> 0
Trip #37  | Load: 477.8  | Path: 0 -> 24 -> 0
Trip #38  | Load: 250.1  | Path: 0 -> 84 -> 0
Trip #39  | Load: 451.4  | Path: 0 -> 96 -> 0
Trip #40  | Load: 571.7  | Path: 0 -> 85 -> 0
Trip #41  | Load: 466.5  | Path: 0 -> 35 -> 0
Trip #42  | Load: 67.5   | Path: 0 -> 59 -> 0
Trip #43  | Load: 398.5  | Path: 0 -> 42 -> 0
Trip #44  | Load: 14.9   | Path: 0 -> 5 -> 0
Trip #45  | Load: 233.4  | Path: 0 -> 43 -> 0
Trip #46  | Load: 501.2  | Path: 0 -> 3 -> 0
Trip #47  | Load: 581.5  | Path: 0 -> 12 -> 0
Trip #48  | Load: 285.4  | Path: 0 -> 67 -> 0
Trip #49  | Load: 437.6  | Path: 0 -> 79 -> 0
Trip #50  | Load: 485.9  | Path: 0 -> 19 -> 70 -> 0
Trip #51  | Load: 416.8  | Path: 0 -> 86 -> 0
Trip #52  | Load: 489.1  | Path: 0 -> 22 -> 0
Trip #53  | Load: 1088.8 | Path: 0 -> 29 -> 53 -> 0
Trip #54  | Load: 426.5  | Path: 0 -> 50 -> 0
Trip #55  | Load: 451.4  | Path: 0 -> 96 -> 0
Trip #56  | Load: 52.9   | Path: 0 -> 92 -> 0
Trip #57  | Load: 663.2  | Path: 0 -> 23 -> 0
Trip #58  | Load: 402.2  | Path: 0 -> 14 -> 0
Trip #59  | Load: 50.2   | Path: 0 -> 87 -> 0
Trip #60  | Load: 165.8  | Path: 0 -> 61 -> 39 -> 0
Trip #61  | Load: 803.7  | Path: 0 -> 75 -> 9 -> 0
Trip #62  | Load: 116.4  | Path: 0 -> 69 -> 0
Trip #63  | Load: 462.5  | Path: 0 -> 93 -> 0
Trip #64  | Load: 421.9  | Path: 0 -> 95 -> 0
Trip #65  | Load: 394.2  | Path: 0 -> 76 -> 0
Trip #66  | Load: 463.8  | Path: 0 -> 19 -> 0
Trip #67  | Load: 401.1  | Path: 0 -> 98 -> 0
Trip #68  | Load: 106.8  | Path: 0 -> 30 -> 0
Trip #69  | Load: 433.8  | Path: 0 -> 52 -> 0
Trip #70  | Load: 483.1  | Path: 0 -> 33 -> 0
Trip #71  | Load: 414.8  | Path: 0 -> 41 -> 0
Trip #72  | Load: 694.6  | Path: 0 -> 11 -> 0
Trip #73  | Load: 401.1  | Path: 0 -> 98 -> 0
Trip #74  | Load: 230.4  | Path: 0 -> 6 -> 0
Trip #75  | Load: 586.1  | Path: 0 -> 32 -> 66 -> 0
Trip #76  | Load: 100.0  | Path: 0 -> 94 -> 0
Trip #77  | Load: 594.8  | Path: 0 -> 60 -> 0
Trip #78  | Load: 917.4  | Path: 0 -> 62 -> 78 -> 0
Trip #79  | Load: 416.8  | Path: 0 -> 91 -> 0
Trip #80  | Load: 248.6  | Path: 0 -> 54 -> 0
Trip #81  | Load: 425.6  | Path: 0 -> 80 -> 0
Trip #82  | Load: 413.2  | Path: 0 -> 48 -> 0
Trip #83  | Load: 25.8   | Path: 0 -> 27 -> 0
Trip #84  | Load: 416.8  | Path: 0 -> 91 -> 0
Trip #85  | Load: 408.4  | Path: 0 -> 57 -> 0
Trip #86  | Load: 437.6  | Path: 0 -> 79 -> 0
Trip #87  | Load: 144.8  | Path: 0 -> 4 -> 0
Trip #88  | Load: 425.6  | Path: 0 -> 80 -> 0
Trip #89  | Load: 779.7  | Path: 0 -> 99 -> 0
Trip #90  | Load: 56.3   | Path: 0 -> 71 -> 0
Trip #91  | Load: 555.6  | Path: 0 -> 28 -> 0
Trip #92  | Load: 630.7  | Path: 0 -> 2 -> 64 -> 0
Trip #93  | Load: 860.4  | Path: 0 -> 37 -> 38 -> 0
Trip #94  | Load: 596.4  | Path: 0 -> 34 -> 0
Trip #95  | Load: 106.2  | Path: 0 -> 58 -> 0
Trip #96  | Load: 421.9  | Path: 0 -> 95 -> 0
Trip #97  | Load: 652.3  | Path: 0 -> 51 -> 0
Trip #98  | Load: 141.2  | Path: 0 -> 31 -> 0
Trip #99  | Load: 483.1  | Path: 0 -> 33 -> 0
Trip #100 | Load: 853.4  | Path: 0 -> 8 -> 72 -> 0
Trip #101 | Load: 154.5  | Path: 0 -> 68 -> 0
Trip #102 | Load: 777.6  | Path: 0 -> 1 -> 0
Trip #103 | Load: 414.8  | Path: 0 -> 41 -> 0
Trip #104 | Load: 44.4   | Path: 0 -> 81 -> 0
Trip #105 | Load: 237.4  | Path: 0 -> 55 -> 0
Trip #106 | Load: 524.2  | Path: 0 -> 89 -> 0
Trip #107 | Load: 660.7  | Path: 0 -> 45 -> 73 -> 0
Trip #108 | Load: 825.7  | Path: 0 -> 15 -> 40 -> 0
Trip #109 | Load: 132.7  | Path: 0 -> 7 -> 0
Trip #110 | Load: 102.6  | Path: 0 -> 90 -> 0
